NADH:101 | NAD:99 | ADP:100 | ATP:100 | O2:100 | H2O:101
NADH:102 | NAD:98 | ADP:100 | ATP:100 | O2:100 | H2O:102
NADH:103 | NAD:97 | ADP:100 | ATP:100 | O2:100 | H2O:103
NADH:104 | NAD:96 | ADP:100 | ATP:100 | O2:100 | H2O:104
NADH:105 | NAD:95 | ADP:100 | ATP:100 | O2:100 | H2O:105
NADH:106 | NAD:94 | ADP:100 | ATP:100 | O2:100 | H2O:106
NADH:107 | NAD:93 | ADP:100 | ATP:100 | O2:100 | H2O:107
NADH:108 | NAD:92 | ADP:100 | ATP:100 | O2:100 | H2O:108
NADH:109 | NAD:91 | ADP:100 | ATP:100 | O2:100 | H2O:109
NADH:110 | NAD:90 | ADP:100 | ATP:100 | O2:100 | H2O:110
NADH:111 | NAD:89 | ADP:100 | ATP:100 | O2:100 | H2O:111
NADH:112 | NAD:88 | ADP:100 | ATP:100 | O2:100 | H2O:112
NADH:113 | NAD:87 | ADP:100 | ATP:100 | O2:100 | H2O:113
NADH:114 | NAD:86 | ADP:100 | ATP:100 | O2:100 | H2O:114
NADH:115 | NAD:85 | ADP:100 | ATP:101 | O2:100 | H2O:115
NADH:116 | NAD:84 | ADP:100 | ATP:102 | O2:100 | H2O:116
NADH:117 | NAD:83 | ADP:100 | ATP:103 | O2:100 | H2O:117
NADH:118 | NAD:82 | ADP:100 | ATP:104 | O2:100 | H2O:118
NADH:119 | NAD:81 | ADP:100 | ATP:105 | O2:100 | H2O:119
NADH:120 | NAD:80 | ADP:100 | ATP:106 | O2:100 | H2O:120
NADH:121 | NAD:79 | ADP:100 | ATP:107 | O2:100 | H2O:121
NADH:122 | NAD:78 | ADP:100 | ATP:108 | O2:100 | H2O:122
NADH:123 | NAD:77 | ADP:100 | ATP:109 | O2:100 | H2O:123
NADH:124 | NAD:76 | ADP:100 | ATP:110 | O2:100 | H2O:124
NADH:125 | NAD:75 | ADP:100 | ATP:111 | O2:100 | H2O:125
NADH:126 | NAD:74 | ADP:100 | ATP:112 | O2:100 | H2O:126
NADH:127 | NAD:73 | ADP:100 | ATP:113 | O2:100 | H2O:127
NADH:128 | NAD:72 | ADP:100 | ATP:114 | O2:100 | H2O:128
NADH:129 | NAD:71 | ADP:100 | ATP:115 | O2:100 | H2O:129
NADH:130 | NAD:70 | ADP:100 | ATP:116 | O2:100 | H2O:130
