NADH:99 | NAD:101 | FADH2:99 | FAD:101 | ADP:99 | ATP:11 | O2:149 | H2O:102
NADH:102 | NAD:98 | FADH2:99 | FAD:101 | ADP:98 | ATP:12 | O2:148 | H2O:104
NADH:105 | NAD:95 | FADH2:99 | FAD:101 | ADP:97 | ATP:13 | O2:147 | H2O:106
NADH:108 | NAD:92 | FADH2:99 | FAD:101 | ADP:96 | ATP:14 | O2:146 | H2O:108
NADH:111 | NAD:89 | FADH2:99 | FAD:101 | ADP:95 | ATP:15 | O2:145 | H2O:110
NADH:114 | NAD:86 | FADH2:99 | FAD:101 | ADP:94 | ATP:16 | O2:144 | H2O:112
NADH:117 | NAD:83 | FADH2:99 | FAD:101 | ADP:93 | ATP:17 | O2:143 | H2O:114
NADH:120 | NAD:80 | FADH2:99 | FAD:101 | ADP:92 | ATP:18 | O2:142 | H2O:116
NADH:123 | NAD:77 | FADH2:99 | FAD:101 | ADP:91 | ATP:19 | O2:141 | H2O:118
NADH:126 | NAD:74 | FADH2:99 | FAD:101 | ADP:90 | ATP:20 | O2:140 | H2O:120
NADH:129 | NAD:71 | FADH2:99 | FAD:101 | ADP:89 | ATP:21 | O2:139 | H2O:122
NADH:132 | NAD:68 | FADH2:99 | FAD:101 | ADP:88 | ATP:22 | O2:138 | H2O:124
NADH:135 | NAD:65 | FADH2:99 | FAD:101 | ADP:87 | ATP:23 | O2:137 | H2O:126
NADH:138 | NAD:62 | FADH2:99 | FAD:101 | ADP:86 | ATP:24 | O2:136 | H2O:128
NADH:141 | NAD:59 | FADH2:99 | FAD:101 | ADP:85 | ATP:25 | O2:135 | H2O:130
NADH:144 | NAD:56 | FADH2:99 | FAD:101 | ADP:84 | ATP:25 | O2:134 | H2O:132
NADH:147 | NAD:53 | FADH2:99 | FAD:101 | ADP:83 | ATP:25 | O2:133 | H2O:134
NADH:150 | NAD:50 | FADH2:99 | FAD:101 | ADP:82 | ATP:25 | O2:132 | H2O:136
NADH:153 | NAD:47 | FADH2:99 | FAD:101 | ADP:81 | ATP:25 | O2:131 | H2O:138
NADH:156 | NAD:44 | FADH2:99 | FAD:101 | ADP:80 | ATP:25 | O2:130 | H2O:140
NADH:159 | NAD:41 | FADH2:99 | FAD:101 | ADP:79 | ATP:25 | O2:129 | H2O:142
NADH:162 | NAD:38 | FADH2:99 | FAD:101 | ADP:78 | ATP:25 | O2:128 | H2O:144
NADH:165 | NAD:35 | FADH2:99 | FAD:101 | ADP:77 | ATP:25 | O2:127 | H2O:146
NADH:168 | NAD:32 | FADH2:99 | FAD:101 | ADP:76 | ATP:25 | O2:126 | H2O:148
NADH:171 | NAD:29 | FADH2:99 | FAD:101 | ADP:75 | ATP:25 | O2:125 | H2O:150
NADH:174 | NAD:26 | FADH2:99 | FAD:101 | ADP:74 | ATP:25 | O2:124 | H2O:152
NADH:177 | NAD:23 | FADH2:99 | FAD:101 | ADP:73 | ATP:25 | O2:123 | H2O:154
NADH:180 | NAD:20 | FADH2:99 | FAD:101 | ADP:72 | ATP:25 | O2:122 | H2O:156
NADH:183 | NAD:17 | FADH2:99 | FAD:101 | ADP:71 | ATP:25 | O2:121 | H2O:158
NADH:186 | NAD:14 | FADH2:99 | FAD:101 | ADP:70 | ATP:25 | O2:120 | H2O:160
NADH:189 | NAD:11 | FADH2:99 | FAD:101 | ADP:69 | ATP:25 | O2:119 | H2O:162
