NADH:99 | NAD:101 | FADH2:99 | FAD:101 | ADP:99 | ATP:11 | O2:149 | H2O:102
NADH:99 | NAD:101 | FADH2:99 | FAD:101 | ADP:99 | ATP:11 | O2:149 | H2O:102
NADH:102 | NAD:98 | FADH2:99 | FAD:101 | ADP:97 | ATP:13 | O2:148 | H2O:104
NADH:105 | NAD:95 | FADH2:99 | FAD:101 | ADP:95 | ATP:15 | O2:147 | H2O:106
NADH:108 | NAD:92 | FADH2:99 | FAD:101 | ADP:93 | ATP:17 | O2:146 | H2O:108
NADH:111 | NAD:89 | FADH2:99 | FAD:101 | ADP:91 | ATP:19 | O2:145 | H2O:110
NADH:114 | NAD:86 | FADH2:99 | FAD:101 | ADP:89 | ATP:21 | O2:144 | H2O:112
NADH:117 | NAD:83 | FADH2:99 | FAD:101 | ADP:87 | ATP:23 | O2:143 | H2O:114
NADH:120 | NAD:80 | FADH2:99 | FAD:101 | ADP:85 | ATP:25 | O2:142 | H2O:116
NADH:123 | NAD:77 | FADH2:99 | FAD:101 | ADP:83 | ATP:26 | O2:141 | H2O:118
NADH:126 | NAD:74 | FADH2:99 | FAD:101 | ADP:81 | ATP:27 | O2:140 | H2O:120
NADH:129 | NAD:71 | FADH2:99 | FAD:101 | ADP:79 | ATP:28 | O2:139 | H2O:122
NADH:132 | NAD:68 | FADH2:99 | FAD:101 | ADP:77 | ATP:29 | O2:138 | H2O:124
NADH:135 | NAD:65 | FADH2:99 | FAD:101 | ADP:75 | ATP:30 | O2:137 | H2O:126
NADH:138 | NAD:62 | FADH2:99 | FAD:101 | ADP:73 | ATP:31 | O2:136 | H2O:128
