Cycle Completed: Matrix H+: 842, IMS H+: 10007, ATP: 11, ΔΨ: 0.12763
Cycle Completed: Matrix H+: 834, IMS H+: 10014, ATP: 12, ΔΨ: 0.1279
Cycle Completed: Matrix H+: 826, IMS H+: 10021, ATP: 13, ΔΨ: 0.12818
Cycle Completed: Matrix H+: 818, IMS H+: 10028, ATP: 14, ΔΨ: 0.12846
Cycle Completed: Matrix H+: 810, IMS H+: 10035, ATP: 15, ΔΨ: 0.12874
Cycle Completed: Matrix H+: 802, IMS H+: 10042, ATP: 16, ΔΨ: 0.12902
Cycle Completed: Matrix H+: 794, IMS H+: 10049, ATP: 17, ΔΨ: 0.12931
Cycle Completed: Matrix H+: 786, IMS H+: 10056, ATP: 18, ΔΨ: 0.1296
Cycle Completed: Matrix H+: 778, IMS H+: 10063, ATP: 19, ΔΨ: 0.12989
Cycle Completed: Matrix H+: 770, IMS H+: 10070, ATP: 20, ΔΨ: 0.13018
Cycle Completed: Matrix H+: 762, IMS H+: 10077, ATP: 21, ΔΨ: 0.13048
Cycle Completed: Matrix H+: 754, IMS H+: 10084, ATP: 22, ΔΨ: 0.13078
Cycle Completed: Matrix H+: 746, IMS H+: 10091, ATP: 23, ΔΨ: 0.13108
Cycle Completed: Matrix H+: 738, IMS H+: 10098, ATP: 24, ΔΨ: 0.13139
Cycle Completed: Matrix H+: 730, IMS H+: 10105, ATP: 25, ΔΨ: 0.1317
Cycle Completed: Matrix H+: 722, IMS H+: 10112, ATP: 25, ΔΨ: 0.13201
Cycle Completed: Matrix H+: 714, IMS H+: 10119, ATP: 25, ΔΨ: 0.13233
Cycle Completed: Matrix H+: 706, IMS H+: 10126, ATP: 25, ΔΨ: 0.13265
Cycle Completed: Matrix H+: 698, IMS H+: 10133, ATP: 25, ΔΨ: 0.13297
Cycle Completed: Matrix H+: 690, IMS H+: 10140, ATP: 25, ΔΨ: 0.1333
Cycle Completed: Matrix H+: 682, IMS H+: 10147, ATP: 25, ΔΨ: 0.13363
Cycle Completed: Matrix H+: 674, IMS H+: 10154, ATP: 25, ΔΨ: 0.13396
Cycle Completed: Matrix H+: 666, IMS H+: 10161, ATP: 25, ΔΨ: 0.1343
Cycle Completed: Matrix H+: 658, IMS H+: 10168, ATP: 25, ΔΨ: 0.13464
Cycle Completed: Matrix H+: 650, IMS H+: 10175, ATP: 25, ΔΨ: 0.13499
Cycle Completed: Matrix H+: 642, IMS H+: 10182, ATP: 25, ΔΨ: 0.13533
Cycle Completed: Matrix H+: 634, IMS H+: 10189, ATP: 25, ΔΨ: 0.13569
Cycle Completed: Matrix H+: 626, IMS H+: 10196, ATP: 25, ΔΨ: 0.13605
Cycle Completed: Matrix H+: 618, IMS H+: 10203, ATP: 25, ΔΨ: 0.13641
Cycle Completed: Matrix H+: 610, IMS H+: 10210, ATP: 25, ΔΨ: 0.13677
Cycle Completed: Matrix H+: 602, IMS H+: 10217, ATP: 25, ΔΨ: 0.13714
Cycle Completed: Matrix H+: 594, IMS H+: 10224, ATP: 25, ΔΨ: 0.13752
Cycle Completed: Matrix H+: 586, IMS H+: 10231, ATP: 25, ΔΨ: 0.1379
Cycle Completed: Matrix H+: 578, IMS H+: 10238, ATP: 25, ΔΨ: 0.13829
Cycle Completed: Matrix H+: 570, IMS H+: 10245, ATP: 25, ΔΨ: 0.13868
Cycle Completed: Matrix H+: 562, IMS H+: 10252, ATP: 25, ΔΨ: 0.13907
Cycle Completed: Matrix H+: 554, IMS H+: 10259, ATP: 25, ΔΨ: 0.13947
Cycle Completed: Matrix H+: 546, IMS H+: 10266, ATP: 25, ΔΨ: 0.13988
Cycle Completed: Matrix H+: 538, IMS H+: 10273, ATP: 25, ΔΨ: 0.14029
Cycle Completed: Matrix H+: 530, IMS H+: 10280, ATP: 25, ΔΨ: 0.14071
Cycle Completed: Matrix H+: 522, IMS H+: 10287, ATP: 25, ΔΨ: 0.14114
Cycle Completed: Matrix H+: 514, IMS H+: 10294, ATP: 25, ΔΨ: 0.14157
Cycle Completed: Matrix H+: 506, IMS H+: 10301, ATP: 25, ΔΨ: 0.142
Cycle Completed: Matrix H+: 498, IMS H+: 10308, ATP: 25, ΔΨ: 0.14245
Cycle Completed: Matrix H+: 490, IMS H+: 10315, ATP: 25, ΔΨ: 0.1429
Cycle Completed: Matrix H+: 482, IMS H+: 10322, ATP: 25, ΔΨ: 0.14336
Cycle Completed: Matrix H+: 474, IMS H+: 10329, ATP: 25, ΔΨ: 0.14382
Cycle Completed: Matrix H+: 466, IMS H+: 10336, ATP: 25, ΔΨ: 0.14429
Cycle Completed: Matrix H+: 458, IMS H+: 10343, ATP: 25, ΔΨ: 0.14478
Cycle Completed: Matrix H+: 450, IMS H+: 10350, ATP: 25, ΔΨ: 0.14526
Cycle Completed: Matrix H+: 442, IMS H+: 10357, ATP: 25, ΔΨ: 0.14576
Cycle Completed: Matrix H+: 434, IMS H+: 10364, ATP: 25, ΔΨ: 0.14627
Cycle Completed: Matrix H+: 426, IMS H+: 10371, ATP: 25, ΔΨ: 0.14678
Cycle Completed: Matrix H+: 418, IMS H+: 10378, ATP: 25, ΔΨ: 0.14731
Cycle Completed: Matrix H+: 410, IMS H+: 10385, ATP: 25, ΔΨ: 0.14784
Cycle Completed: Matrix H+: 402, IMS H+: 10392, ATP: 25, ΔΨ: 0.14839
Cycle Completed: Matrix H+: 394, IMS H+: 10399, ATP: 25, ΔΨ: 0.14894
Cycle Completed: Matrix H+: 386, IMS H+: 10406, ATP: 25, ΔΨ: 0.14951
Cycle Completed: Matrix H+: 378, IMS H+: 10413, ATP: 25, ΔΨ: 0.15008
Cycle Completed: Matrix H+: 370, IMS H+: 10420, ATP: 25, ΔΨ: 0.15067
Cycle Completed: Matrix H+: 362, IMS H+: 10427, ATP: 25, ΔΨ: 0.15127
Cycle Completed: Matrix H+: 354, IMS H+: 10434, ATP: 25, ΔΨ: 0.15189
Cycle Completed: Matrix H+: 346, IMS H+: 10441, ATP: 25, ΔΨ: 0.15252
Cycle Completed: Matrix H+: 338, IMS H+: 10448, ATP: 25, ΔΨ: 0.15316
Cycle Completed: Matrix H+: 330, IMS H+: 10455, ATP: 25, ΔΨ: 0.15382
Cycle Completed: Matrix H+: 322, IMS H+: 10462, ATP: 25, ΔΨ: 0.15449
Cycle Completed: Matrix H+: 314, IMS H+: 10469, ATP: 25, ΔΨ: 0.15518
Cycle Completed: Matrix H+: 306, IMS H+: 10476, ATP: 25, ΔΨ: 0.15589
Cycle Completed: Matrix H+: 298, IMS H+: 10483, ATP: 25, ΔΨ: 0.15661
Cycle Completed: Matrix H+: 290, IMS H+: 10490, ATP: 25, ΔΨ: 0.15736
Cycle Completed: Matrix H+: 282, IMS H+: 10497, ATP: 25, ΔΨ: 0.15812
Cycle Completed: Matrix H+: 274, IMS H+: 10504, ATP: 25, ΔΨ: 0.15891
Cycle Completed: Matrix H+: 266, IMS H+: 10511, ATP: 25, ΔΨ: 0.15972
